,Sources,Content,Time,Source Links,Time (hours)
37,DNA India," Mukesh Ambani’s Reliance makes a big Rs 4286 crore purchase, he is now owner of… Mukesh Ambani's Reliance recently signed a massive deal with Disney India to create a Rs 70000 crore behemoth.",2 days ago,https://www.dnaindia.com/business/report-mukesh-ambani-s-reliance-makes-a-big-rs-4286-crore-purchase-he-is-now-owner-of-3081402,48.0
38,The Economic Times," Buy Reliance Industries, target price Rs 3210: Motilal Oswal Reliance Industries Ltd. key Products/Revenue Segments include Petrochemicals, Oil & Gas, Income From Financial Services, Other Services,...",2 weeks ago,https://m.economictimes.com/markets/stocks/recos/buy-reliance-industries-target-price-rs-3210-motilal-oswalnbsp/articleshow/108092693.cms,
39,mint, Reliance Industries: 8 Key reasons why Jefferies has raised earnings estimates and sees more upside for the stock price | Mint Reliance Industries Ltd share price has risen more than 30% since its closing lows in October'2023. While the investor confidence on...,3 weeks ago,https://www.livemint.com/market/stock-market-news/reliance-industries-8-key-reasons-why-jefferies-has-raised-earnings-estimates-and-sees-more-upside-for-the-stock-price-11708332125491.html,
40,The Economic Times, JV deal with Reliance Industries will help Disney derisk in India: Bob Iger Walt Disney CEO Bob Iger believes the joint venture with Mukesh Ambani's Reliance Industries Limited (RIL) will enhance the company's bottom...,1 week ago,https://m.economictimes.com/industry/media/entertainment/jv-deal-with-reliance-industries-will-help-disney-derisk-in-india-bob-iger/articleshow/108333233.cms,
41,NDTV Profit," Nifty, Sensex Fall Dragged By RIL, Infosys, L&T As Fed Rate Cut Hopes Wane: Midday Market Update India's benchmark stock indices were trading lower through midday on Friday, dragged by index-heavyweights Reliance Industries Ltd.,...",1 day ago,https://www.ndtvprofit.com/markets/nifty-sensex-fall-dragged-by-ril-infosys-lt-as-fed-rate-cut-hopes-wane-midday-market-update,24.0
42,CNBC TV18, Reliance Industries becomes India's first ₹20 lakh crore company; stock at record high Reliance Industries (RIL) hit a new landmark on Tuesday after the oil-to-telecom conglomerate became the first Indian company to hit a...,1 month ago,https://www.cnbctv18.com/market/reliance-industries-hits-market-capitalisation-of-rs-20-lakh-crore-stock-at-record-high-19038391.htm,
43,Ahmedabad Mirror, RIL to buy 13% stake of Paramount Global #New Delhi Paramount...,1 day ago,https://www.ahmedabadmirror.com/ril-to-buy-13-stake-of-paramount-global/81863753.html,24.0
44,The Hindu, Merger with Reliance would boost company’s profits and reduce risk in India: Disney CEO Walt Disney CEO Bob Iger has said a joint venture with Reliance Industries after merging its India business would benefit the company in...,6 days ago,https://www.thehindu.com/business/Industry/merger-with-reliance-would-boost-companys-profits-and-reduce-risk-in-india-disney-ceo/article67934978.ece,144.0
45,Telangana Today," Reliance Industries to buy 13% stake in Viacom 18 media for Rs 4286 Cr Viacom18, a TV18 Broadcast Limited subsidiary, is primarily owned by Reliance Industries, holding 57.48% stake through Compulsorily...",2 days ago,https://telanganatoday.com/reliance-industries-to-buy-13-stake-in-viacom-18-media-for-rs-4286-cr,48.0
46,News18," Reliance To Acquire Paramount's 13% Stake In Viacom18 For Rs 4,286 Crore India's largest private company Reliance Industries on March 14 informed stock exchanges that it signed a binding agreement with two...",2 days ago,https://www.news18.com/business/reliance-to-acquire-paramounts-13-stake-in-viacom18-for-rs-4286-crore-8814781.html,48.0
47,mint, Reliance Industries to announce Q3FY24 results on 19 January | Mint India's multinational conglomerate Reliance Industries Limited (RIL) will announce its third-quarter results on 19 January.,12 Jan 2024,https://www.livemint.com/companies/company-results/reliance-industries-to-announce-q3fy24-results-on-19-january-11705066054937.html,
48,Scroll.in," Top buyers of electoral bonds include lottery king, infrastructure giant, mining group Vedanta India's leading lottery company headed by a controversial businessman is the top purchaser of electoral bonds, an initial analysis of the...",1 day ago,https://scroll.in/article/1065211/top-buyers-of-electoral-bonds-include-lottery-king-infrastructure-giant-mining-group-vedanta,24.0
49,Business Standard," Reliance Industries Ltd gains for third consecutive session Reliance Industries Ltd is quoting at Rs 2890.9, up 1.32% on the day as on 12:49 IST on the NSE. The stock is up 36.72% in last one year as...",1 month ago,https://www.business-standard.com/markets/capital-market-news/reliance-industries-ltd-gains-for-third-consecutive-session-124020200616_1.html,
50,The Hindu BusinessLine, Reliance Industries shares fall over 1% after Q3 earnings Shares of Reliance Industries Ltd fell 1.30 per cent in morning trade on Saturday after the company reported its quarterly earnings.,20 Jan 2024,https://www.thehindubusinessline.com/markets/reliance-industries-shares-fall-over-1-after-q3-earnings/article67758931.ece,
51,Moneycontrol," Jefferies India raises Reliance Industries stock price target on O2C business strength Jefferies India raised Reliance Industries Ltd's (RIL) stock price target by 7 percent to Rs 3,140, highlighting its undervaluation relative...",3 weeks ago,https://www.moneycontrol.com/news/business/markets/jefferies-india-raises-reliance-industries-stock-price-target-on-o2c-business-strength-12308391.html,
52,Business Standard," Stocks to Watch, March 14: RIL, Gopal Snacks, TaMo, Federal Bank, HAL, KEC Stocks to Watch on Thursday, March 14: Gopal Snacks' shares will debut on the stock exchanges on Thursday at an issue price of Rs 401...",2 days ago,https://www.business-standard.com/markets/news/stocks-to-watch-march-14-ril-gopal-snacks-tamo-federal-bank-hal-kec-124031400065_1.html,48.0
53,Taxscan," Levy under Finance Act will apply to Goods Manufactured or Produced in India other than Goods Produced in SEZ ... In a ruling in favour of Reliance Industries Ltd, the Ahmedabad bench of the Customs, Excise & Service Tax Appellate Tribunal ( CESTAT ) has...",2 days ago,https://www.taxscan.in/levy-under-finance-act-will-apply-to-goods-manufactured-or-produced-in-india-other-than-goods-produced-in-sez-cestat-rules-in-favour-of-reliance-industries/383318/,48.0
54,The New Indian Express," RIL buys 13.01 per cent in Viacom18 for Rs 4,286 crore Reliance clarified in a filing that this acquisition is not a related-party transaction and none of its affiliated groups have any interest...",1 day ago,https://www.newindianexpress.com/business/2024/Mar/15/ril-buys-1301-per-cent-in-viacom18-for-rs-4286-crore,24.0
55,Bloomberg," Paramount Global to Sell India TV Stake to Reliance Industries Paramount Global has agreed to sell its 13% stake in its Indian TV business to its local partner, Reliance Industries Ltd., for $517 million...",2 days ago,https://www.bloomberg.com/news/videos/2024-03-14/paramount-global-to-sell-india-tv-stake-to-reliance-industries,48.0
56,mint," Alok Industries share price rallies another 12% on Reliance Industries’ fund infusion; stock up 36% in three sessions | Mint Alok Industries shares have risen nearly 36% in three trading sessions, while the stock is up 49% in the past three months.",3 Jan 2024,https://www.livemint.com/market/stock-market-news/alok-industries-share-price-rallies-another-12-up-36-in-three-sessions-11704267376179.html,
57,Times Now," This Small Cap Company Bags Order From Mukesh Ambani's Reliance Industries - Details Gujarat Toolroom Limited has secured a substantial order worth Rs 290 million from Reliance Industries Limited, one of India's leading...",1 week ago,https://www.timesnownews.com/business-economy/companies/this-small-cap-company-bags-order-from-mukesh-ambanis-reliance-industries-details-article-108272822,
58,Business Standard," Reliance Industries Ltd soars 1.24%, Gains for third straight session Reliance Industries Ltd is quoting at Rs 2936.1, up 1.24% on the day as on 12:49 IST on the NSE. The stock is up 38.41% in last one year as...",1 month ago,https://www.business-standard.com/markets/capital-market-news/reliance-industries-ltd-soars-1-24-gains-for-third-straight-session-124020900554_1.html,
59,NDTV Profit," Nifty, Sensex Fall As RIL, L&T, NTPC Drag: Midday Market Update India's benchmark indices fell sharply through midday after opening higher on Wednesday, tracking loss in shares of index-heavyweights...",3 days ago,https://www.ndtvprofit.com/markets/nifty-sensex-fall-as-ril-lt-ntpc-drag-midday-market-update,72.0
60,DNA India," Meet Mukesh Ambani’s ‘brother’, left his own firm to join Reliance, took no salary, his son now has Rs Mukesh Ambani and Anand Jain studied together at Mumbai's Hill Grange High School and when Mukesh Ambani returned from Stanford University...",3 days ago,https://www.dnaindia.com/business/report-meet-mukesh-ambani-s-brother-left-his-own-firm-to-join-reliance-took-no-salary-his-son-has-rs-65000-crore-3081188,72.0
61,MSN," Reliance Industries shares jumps after it acquires 13% stake in Paramount Global Reliance Industries stocks surged over 1% during Thursday morning trading, propelled by the announcement of Paramount Global's decision to divest its 13%...",2 days ago,https://www.msn.com/en-in/money/markets/reliance-industries-shares-jumps-after-it-acquires-13-stake-in-paramount-global/ar-BB1jSzYI,48.0
62,CNBC TV18, New Peak! RIL shares hit record high; Jio Financial Services market cap above Rs 2 lakh crore Shares of oil-to-telecom conglomerate Reliance Industries Ltd (RIL) gained to scale a record high in Friday's trade amid a rally in the...,3 weeks ago,https://www.cnbctv18.com/market/reliance-industries-ril-share-price-record-high-jio-financial-services-stock-market-cap-above-rs-2-lakh-crore-19118271.htm,
63,Hindustan Times," Reliance Industries is India's most valuable firm, study finds. Check top 10 The Mukesh Ambani-led RIL has an mcap of ₹15.64 trillion, as per the report, compiled by Axis Bank's private banking unit Burgundy Private,...",1 month ago,https://www.hindustantimes.com/business/reliance-industries-is-indias-most-valuable-firm-study-says-check-top-10-101707783657701.html,
64,The Economic Times," Reliance’s top 5 moves in 2023: Succession planning, broadcast push, retail dominance & more Reliance Industries, led by Mukesh Ambani, continued to diversify its business operations and consolidate its presence in various sectors.",28 Dec 2023,https://m.economictimes.com/news/company/corporate-trends/reliances-top-5-moves-in-2023-succession-planning-broadcast-push-retail-dominance-more/articleshow/106344572.cms,
